,birthplace,date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,award,biourl,movie,person,bioLink,movie_IMDB_Link,rating_bin,runtime_bin
111,New York City,15-Sep-46,White,Atheist,Straight,1990,Best Director,http://www.nndb.com/people/545/000022479/,Platoon,Oliver Stone,https://www.imdb.com/name/nm0000231/awards,https://www.imdb.com/title/tt0091763/,8.0,2.0
112,"Parma, Emilia-Romagna, Italy",16-Mar-41,White,Unknown,Straight,1988,Best Director,http://www.nndb.com/people/268/000024196/,The Last Emperor,Bernardo Bertolucci,https://www.imdb.com/name/nm0000934/awards,https://www.imdb.com/title/tt0093389/,8.0,2.5
113,"Baltimore, Md",6-Apr-42,White,Jewish,Straight,1989,Best Director,http://www.nndb.com/people/748/000023679/,Rain Man,Barry Levinson,https://www.imdb.com/name/nm0001469/awards,https://www.imdb.com/title/tt0095953/,8.0,2.0
114,"Los Angeles, Ca",8-Aug-37,White,Jewish,Straight,1989,Best Actor,http://www.nndb.com/people/882/000022816/,Rainman,Dustin Hoffman,https://www.imdb.com/name/nm0000163/awards,https://www.imdb.com/title/tt0095953/,8.0,2.0
115,New York City,15-Sep-46,White,Atheist,Straight,1990,Best Director,http://www.nndb.com/people/545/000022479/,Born on the Fourth of July,Oliver Stone,https://www.imdb.com/name/nm0000231/awards,https://www.imdb.com/title/tt0096969/,7.0,2.5
116,"Lynwood, Ca",18-Jan-55,White,Christian,Straight,1991,Best Director,http://www.nndb.com/people/758/000022692/,Dances with Wolves,Kevin Costner,https://www.imdb.com/name/nm0000126/awards,https://www.imdb.com/title/tt0099348/,8.0,3.0
117,"Baldwin, Ny",22-Feb-44,White,Unknown,Straight,1992,Best Director,http://www.nndb.com/people/578/000024506/,The Silence of the Lambs,Jonathan Demme,https://www.imdb.com/name/nm0001129/,https://www.imdb.com/title/tt0102926/,9.0,2.0
118,"Port Talbot, Wales",31-Dec-37,White,Unknown,Straight,1992,Best Actor,http://www.nndb.com/people/005/000023933/,Silence of the Lambs,Anthony Hopkins,https://www.imdb.com/name/nm0000164/awards,https://www.imdb.com/title/tt0102926/,9.0,2.0
119,"Los Angeles, Ca",19-Nov-62,White,Atheist,Lesbian,1992,Best Actress,http://www.nndb.com/people/756/000023687/,The Silence of the Lambs,Jodie Foster,https://www.imdb.com/name/nm0000149/awards,https://www.imdb.com/title/tt0102926/,9.0,2.0
120,"San Francisco, Ca",31-May-30,White,Unknown,Straight,1993,Best Director,http://www.nndb.com/people/849/000022783/,Unforgiven,Clint Eastwood,https://www.imdb.com/name/nm0000142/awards,https://www.imdb.com/title/tt0105695/,8.0,2.0
121,"San Bernardino, Ca",30-Jan-30,White,Unknown,Straight,1993,Best Supporting Actor,http://www.nndb.com/people/878/000022812/,Unforgiven,Gene Hackman,https://www.imdb.com/name/nm0000432/awards,https://www.imdb.com/title/tt0105695/,8.0,2.0
122,"Cincinnati, Oh",18-Dec-46,White,Jewish,Straight,1994,Best Director,http://www.nndb.com/people/734/000022668/,Schindler's List,Steven Spielberg,https://www.imdb.com/name/nm0000229/awards,https://www.imdb.com/title/tt0108052/,9.0,3.0
123,"Chicago, Il",14-May-52,White,Christian,Straight,1995,Best Director,http://www.nndb.com/people/224/000025149/,Forrest Gump,Robert Zemeckis,https://www.imdb.com/name/nm0000709/awards,https://www.imdb.com/title/tt0109830/,9.0,2.5
124,"Concord, Ca",9-Jul-56,White,Christian,Straight,1995,Best Actor,http://www.nndb.com/people/687/000022621/,Forrest Gump,Tom Hanks,https://www.imdb.com/name/nm0000158/awards,https://www.imdb.com/title/tt0109830/,9.0,2.5
125,"Peekskill, Ny",3-Jan-56,White,Christian,Straight,1996,Best Director,http://www.nndb.com/people/583/000022517/,Braveheart,Mel Gibson,https://www.imdb.com/name/nm0000154/awards,https://www.imdb.com/title/tt0112573/,8.0,3.0
126,"Ryde, Isle of Wight, England",6-Jan-54,White,Unknown,Straight,1997,Best Director,http://www.nndb.com/people/513/000032417/,The English Patient,Anthony Minghella,https://www.imdb.com/name/nm0005237/,https://www.imdb.com/title/tt0116209/,7.0,2.5
127,"Paris, France",9-Mar-64,White,Unknown,Straight,1997,Best Supporting Actress,http://www.nndb.com/people/970/000025895/,The English Patient,Juliette Binoche,https://www.imdb.com/name/nm0000300/awards,https://www.imdb.com/title/tt0116209/,7.0,2.5
128,"Kapuskasing, Ontario, Canada",16-Aug-54,White,Atheist,Straight,1998,Best Director,http://www.nndb.com/people/385/000025310/,Titanic,James Cameron,https://www.imdb.com/name/nm0000116/awards,https://www.imdb.com/title/tt0120338/,8.0,3.0
129,"Cincinnati, Oh",18-Dec-46,White,Jewish,Straight,1999,Best Director,http://www.nndb.com/people/734/000022668/,Saving Private Ryan,Steven Spielberg,https://www.imdb.com/name/nm0000229/awards,https://www.imdb.com/title/tt0120815/,9.0,3.0
130,"Reading, Berkshire, England",1-Aug-65,White,Unknown,Straight,2000,Best Director,http://www.nndb.com/people/059/000025981/,American Beauty,Sam Mendes,https://www.imdb.com/name/nm0005222/awards,https://www.imdb.com/title/tt0169547/,8.0,2.0
131,"South Orange, Nj",26-Jul-59,White,Unknown,Matter of Dispute,2000,Best Actor,http://www.nndb.com/people/591/000023522/,American Beauty,Kevin Spacey,https://www.imdb.com/name/nm0000228/awards,https://www.imdb.com/title/tt0169547/,8.0,2.0
132,"Atlanta, Ga",14-Jan-63,White,Atheist,Straight,2001,Best Director,http://www.nndb.com/people/907/000025832/,Traffic,Steven Soderbergh,https://www.imdb.com/name/nm0001752/awards,https://www.imdb.com/title/tt0181865/,8.0,2.5
133,"Santurce, Puerto Rico",19-Feb-67,Hispanic,Unknown,Straight,2001,Best Supporting Actor,http://www.nndb.com/people/087/000026009/,Traffic,Benicio Del Toro,https://www.imdb.com/name/nm0001125/awards,https://www.imdb.com/title/tt0181865/,8.0,2.5
134,"Duncan, Ok",1-Mar-54,White,Unknown,Straight,2002,Best Director,http://www.nndb.com/people/365/000025290/,A Beautiful Mind,Ron Howard,https://www.imdb.com/name/nm0000165/awards,https://www.imdb.com/title/tt0268978/,8.0,2.0
135,"Catskill Mountains, Ny",12-Dec-70,White,Jewish,Straight,2002,Best Supporting Actress,http://www.nndb.com/people/240/000026162/,A Beautiful Mind,Jennifer Connelly,https://www.imdb.com/name/nm0000124/awards,https://www.imdb.com/title/tt0268978/,8.0,2.0
136,"Paris, France",18-Aug-33,White,Unknown,Straight,2003,Best Director,http://www.nndb.com/people/541/000023472/,The Pianist,Roman Polanski,https://www.imdb.com/name/nm0000591/awards,https://www.imdb.com/title/tt0253474/,8.0,2.5
137,New York City,14-Apr-73,White,Jewish,Straight,2003,Best Actor,http://www.nndb.com/people/112/000026034/,The Pianist,Adrien Brody,https://www.imdb.com/name/nm0004778/awards,https://www.imdb.com/title/tt0253474/,8.0,2.5
138,"Wellington, New Zealand",31-Oct-61,White,Unknown,Straight,2004,Best Director,http://www.nndb.com/people/848/000025773/,The Lord of the Rings: Return of the King,Peter Jackson,https://www.imdb.com/name/nm0001392/awards,https://www.imdb.com/title/tt0167260/,9.0,3.5
139,"San Francisco, Ca",31-May-30,White,Unknown,Straight,2005,Best Director,http://www.nndb.com/people/849/000022783/,Million Dollar Baby,Clint Eastwood,https://www.imdb.com/name/nm0000142/awards,https://www.imdb.com/title/tt0405159/,8.0,2.0
140,"Memphis, Tn",1-Jun-37,Black,Unknown,Straight,2005,Best Supporting Actor,http://www.nndb.com/people/982/000023913/,Million Dollar Baby,Morgan Freeman,https://www.imdb.com/name/nm0000151/awards,https://www.imdb.com/title/tt0405159/,8.0,2.0
141,"Lincoln, Ne",30-Jul-74,White,Unknown,Straight,2005,Best Actress,http://www.nndb.com/people/333/000026255/,Million Dollar Baby,Hilary Swank,https://www.imdb.com/name/nm0005476/awards,https://www.imdb.com/title/tt0405159/,8.0,2.0
142,"Lincoln, Ne",30-Jul-74,White,Unknown,Straight,2005,Best Actress,http://www.nndb.com/people/333/000026255/,Million Dollar Baby,Hilary Swank,https://www.imdb.com/name/nm0005476/awards,https://www.imdb.com/title/tt0405159/,8.0,2.0
143,"Lincoln, Ne",30-Jul-74,White,Unknown,Straight,2005,Best Actress,http://www.nndb.com/people/333/000026255/,Million Dollar Baby,Hilary Swank,https://www.imdb.com/name/nm0005476/awards,https://www.imdb.com/title/tt0405159/,8.0,2.0
144,"Pingtung, Taiwan",23-Oct-54,Asian,Unknown,Straight,2006,Best Director,http://www.nndb.com/people/394/000025319/,Brokeback Mountain,Ang Lee,https://www.imdb.com/name/nm0000487/awards,https://www.imdb.com/title/tt0388795/,8.0,2.0
145,"Flushing, Ny",17-Nov-42,White,Christian,Straight,2007,Best Director,http://www.nndb.com/people/678/000022612/,The Departed,Martin Scorsese,https://www.imdb.com/name/nm0000217/awards,https://www.imdb.com/title/tt0407887/,8.0,2.5
146,"Manchester, England",20-Oct-56,White,Christian,Straight,2009,Best Director,http://www.nndb.com/people/887/000044755/,Slumdog Millionaire,Danny Boyle,https://www.imdb.com/name/nm0000965/awards,https://www.imdb.com/title/tt1010048/,8.0,2.0
147,"Manchester, England",20-Oct-56,White,Christian,Straight,2009,Best Director,http://www.nndb.com/people/887/000044755/,Slumdog Millionaire,Danny Boyle,https://www.imdb.com/name/nm0000965/awards,https://www.imdb.com/title/tt1010048/,8.0,2.0
148,"San Carlos, Ca",27-Nov-51,White,Unknown,Straight,2009,Best Director,http://www.nndb.com/people/837/000079600/,The Hurt Locker,Kathryn Bigelow,https://www.imdb.com/name/nm0000941/,https://www.imdb.com/title/tt0887912/,8.0,2.0
149,"London, England",1972,White,Unknown,Unknown,2011,Best Director,http://www.nndb.com/people/093/000268286/,The King's Speech,Tom Hooper,https://www.imdb.com/name/nm0393799/awards,https://www.imdb.com/title/tt1504320/,8.0,2.0
150,"Grayshott, Hampshire, England",10-Sep-60,White,Unknown,Straight,2011,Best Actor,http://www.nndb.com/people/813/000043684/,The King's Speech,Colin Firth,https://www.imdb.com/name/nm0000147/awards,https://www.imdb.com/title/tt1504320/,8.0,2.0
151,"Paris, France",29-Mar-67,White,Jewish,Straight,2012,Best Director,http://www.nndb.com/people/302/000281456/,The Artist,Michel Hazanavicius,https://www.imdb.com/name/nm0371890/,https://www.imdb.com/title/tt1655442/,8.0,1.5
152,"Rueil-Malmaison, Hauts-De-Seine, France",19-Jun-72,White,Unknown,Straight,2012,Best Actor,http://www.nndb.com/people/303/000281457/,The Artist,Jean Dujardin,https://www.imdb.com/name/nm0241121/,https://www.imdb.com/title/tt1655442/,8.0,1.5
153,"Pingtung, Taiwan",23-Oct-54,Asian,Unknown,Straight,2013,Best Director,http://www.nndb.com/people/394/000025319/,Life of Pi,Ang Lee,https://www.imdb.com/name/nm0000487/awards,https://www.imdb.com/title/tt0454876/,8.0,2.0
154,"Rorschach, Switzerland",23-Jul-1884,White,Unknown,Bisexual,1929,Best Actor,http://www.nndb.com/people/738/000063549/,The Last Command,Emil Jannings,https://www.imdb.com/name/nm0417837/awards,https://www.imdb.com/title/tt0019071/,8.0,0.0
155,"Columbus, Oh",29-Mar-1889,White,Unknown,Straight,1930,Best Actor,http://www.nndb.com/people/739/000063550/,In Old Arizona,Warner Baxter,https://www.imdb.com/name/nm0062828/awards,https://www.imdb.com/title/tt0020018/,6.0,0.0
156,"London, England",10-Apr-1868,White,Unknown,Straight,1930,Best Actor,http://www.nndb.com/people/740/000063551/,Desraeli,George Arliss,https://www.imdb.com/name/nm0002183/,https://www.imdb.com/title/tt0019823/,6.0,1.5
157,"Philadelphia, Pa",28-Apr-1878,White,Christian,Straight,1931,Best Actor,http://www.nndb.com/people/741/000043612/,A Free Soul,Lionel Barrymore,https://www.imdb.com/name/nm0000859/awards,https://www.imdb.com/title/tt0021885/,7.0,1.5
158,"Kansas City, Mo",1-Apr-1885,White,Unknown,Straight,1932,Best Actor,http://www.nndb.com/people/976/000043847/,The Champ,Wallace Beery,https://www.imdb.com/name/nm0000891/awards,https://www.imdb.com/title/tt0021730/,7.0,1.5
159,"Victoria Hotel, Scarborough, Yorkshire, England",1-Jul-1899,White,Christian,Gay,1934,Best Actor,http://www.nndb.com/people/884/000042758/,The Private Life of Henry VIII,Charles Laughton,https://www.imdb.com/name/nm0001452/awards,https://www.imdb.com/title/tt0024473/,7.0,1.5
160,"Lviv, Ukraine",22-Sep-1895,White,Jewish,Straight,1937,Best Actor,http://www.nndb.com/people/741/000063552/,The Story of Louis Pasteur,Paul Muni,https://www.imdb.com/name/nm0612847/awards,https://www.imdb.com/title/tt0028313/,7.0,1.5
161,"Milwaukee, Wi",5-Apr-1900,White,Christian,Straight,1938,Best Actor,http://www.nndb.com/people/979/000024907/,Captains Courageous,Spencer Tracy,https://www.imdb.com/name/nm0000075/awards,https://www.imdb.com/title/tt0028691/,8.0,2.0
162,"Milwaukee, Wi",5-Apr-1900,White,Christian,Straight,1939,Best Actor,http://www.nndb.com/people/979/000024907/,Boys Town,Spencer Tracy,https://www.imdb.com/name/nm0000075/awards,https://www.imdb.com/title/tt0029942/,7.0,1.5
163,"Withington, Manchester, England",18-Mar-05,White,Unknown,Straight,1940,Best Actor,http://www.nndb.com/people/742/000063553/,Goodbye Mr. Chips,Robert Donat,https://www.imdb.com/name/nm0232196/awards,https://www.imdb.com/title/tt0031385/,8.0,2.0
164,"Indiana, Pa",20-May-08,White,Christian,Straight,1941,Best Actor,http://www.nndb.com/people/659/000026581/,The Philadelphia Story,Jimmy Stewart,https://www.imdb.com/name/nm0000071/awards,https://www.imdb.com/title/tt0032904/,8.0,2.0
165,"Helena, Mt",7-May-1901,White,Christian,Straight,1942,Best Actor,http://www.nndb.com/people/740/000031647/,Sergeant York,Gary Cooper,https://www.imdb.com/name/nm0000011/awards,https://www.imdb.com/title/tt0034167/,8.0,2.0
166,"Manhattan, Ny",17-Jul-1899,White,Christian,Straight,1943,Best Actor,http://www.nndb.com/people/798/000024726/,Yankee Doodle Dandy,James Cagney,https://www.imdb.com/name/nm0000010/awards,https://www.imdb.com/title/tt0035575/,8.0,2.0
167,"Budapest, Hungary",26-May-1887,White,Unknown,Straight,1944,Best Actor,http://www.nndb.com/people/713/000042587/,Watch on the Rhine,Paul Lukas,https://www.imdb.com/name/nm0510134/,https://www.imdb.com/title/tt0036515/,7.0,2.0
168,"Richmond, Surrey, England",9-Feb-1891,White,Unknown,Straight,1948,Best Actor,http://www.nndb.com/people/619/000042493/,A Double Life,Ronald Colman,https://www.imdb.com/name/nm0172903/awards,https://www.imdb.com/title/tt0039335/,7.0,1.5
169,"Dorking, Surrey, England",22-May-07,White,Unknown,Bisexual,1949,Best Actor,http://www.nndb.com/people/607/000022541/,Hamlet,Laurence Olivier,https://www.imdb.com/name/nm0000059/awards,https://www.imdb.com/title/tt0040416/,8.0,2.5
170,"Philadelphia, Pa",9-Dec-11,White,Unknown,Straight,1950,Best Actor,http://www.nndb.com/people/744/000063555/,All The King's Men,Broderick Crawford,https://www.imdb.com/name/nm0002024/,https://www.imdb.com/title/tt0041113/,8.0,2.0
171,"Joliet, Il",17-Mar-16,White,Christian,Straight,1950,Best Supporting Actress,http://www.nndb.com/people/086/000063894/,All the King's Men,Mercedes McCambridge,https://www.imdb.com/name/nm0564790/,https://www.imdb.com/title/tt0041113/,8.0,2.0
172,"Santurce, Puerto Rico",8-Jan-09,Hispanic,Unknown,Straight,1951,Best Actor,http://www.nndb.com/people/311/000026233/,Cyrano de Bergerac,Jose Ferrer,https://www.imdb.com/name/nm0001207/awards,https://www.imdb.com/title/tt0042367/,8.0,2.0
173,New York City,25-Dec-1899,White,Unknown,Straight,1952,Best Actor,http://www.nndb.com/people/837/000024765/,The Africa Queen,Humphrey Bogart,https://www.imdb.com/name/nm0000007/awards,https://www.imdb.com/title/tt0043265/,8.0,2.0
174,"Helena, Mt",7-May-1901,White,Christian,Straight,1953,Best Actor,http://www.nndb.com/people/740/000031647/,High Noon,Gary Cooper,https://www.imdb.com/name/nm0000011/awards,https://www.imdb.com/title/tt0044706/,8.0,1.5
175,"Helena, Mt",7-May-1901,White,Christian,Straight,1953,Best Actor,http://www.nndb.com/people/740/000031647/,High Noon,Gary Cooper,https://www.imdb.com/name/nm0000011/awards,https://www.imdb.com/title/tt0044706/,8.0,1.5
176,"O'fallon, Il",17-Apr-18,White,Unknown,Straight,1954,Best Actor,http://www.nndb.com/people/210/000022144/,Stalag 17,William Holden,https://www.imdb.com/name/nm0000034/awards,https://www.imdb.com/title/tt0046359/,8.0,2.0
177,"Vladivostok, Russia",11-Jul-20,White,Unknown,Straight,1957,Best Actor,http://www.nndb.com/people/459/000026381/,The King and I,Yul Brynner,https://www.imdb.com/name/nm0000989/awards,https://www.imdb.com/title/tt0049408/,7.0,2.0
178,"London, England",1-Mar-09,White,Unknown,Straight,1959,Best Actor,http://www.nndb.com/people/690/000031597/,Separate Tables,David Niven,https://www.imdb.com/name/nm0000057/awards,https://www.imdb.com/title/tt0052182/,7.0,1.5
179,"Bramhall, Cheshire, England",15-Aug-12,White,Unknown,Straight,1959,Best Supporting Actress,http://www.nndb.com/people/056/000063864/,Separate Tables,Wendy Hiller,https://www.imdb.com/name/nm0384908/awards,https://www.imdb.com/title/tt0052182/,7.0,1.5
180,New York City,2-Nov-13,White,Christian,Straight,1961,Best Actor,http://www.nndb.com/people/938/000031845/,Elmer Gantry,Burt Lancaster,https://www.imdb.com/name/nm0000044/awards,https://www.imdb.com/title/tt0053793/,8.0,2.5
181,"Charleroi, Pa",31-Mar-34,White,Christian,Straight,1961,Best Supporting Actress,http://www.nndb.com/people/795/000023726/,Elmer Gantry,Shirley Jones,https://www.imdb.com/name/nm0429250/awards,https://www.imdb.com/title/tt0053793/,8.0,2.5
182,"Vienna, Austria",8-Dec-30,White,Unknown,Straight,1962,Best Actor,http://www.nndb.com/people/351/000023282/,Judgement at Nuremberg,Maximilian Schell,https://www.imdb.com/name/nm0001703/awards,https://www.imdb.com/title/tt0055031/,8.0,3.0
183,"La Jolla, Ca",5-Apr-16,White,Christian,Straight,1963,Best Actor,http://www.nndb.com/people/774/000023705/,To Kill a Mockingbird,Gregory Peck,https://www.imdb.com/name/nm0000060/awards,https://www.imdb.com/title/tt0056592/,8.0,2.0
184,"Miami, Fl",20-Feb-27,Black,Deist,Straight,1964,Best Actor,http://www.nndb.com/people/200/000023131/,Lilies of the Field,Sidney Poitier,https://www.imdb.com/name/nm0001627/awards,https://www.imdb.com/title/tt0057251/,8.0,1.5
185,New York City,19-Feb-24,White,Unknown,Straight,1966,Best Actor,http://www.nndb.com/people/314/000026236/,Cat Ballou,Lee Marvin,https://www.imdb.com/name/nm0001511/awards,https://www.imdb.com/title/tt0059017/,7.0,1.5
186,"Westhampton, Ny",14-Apr-25,White,Christian,Straight,1968,Best Actor,http://www.nndb.com/people/762/000026684/,In the Heat of the Night,Rod Steiger,https://www.imdb.com/name/nm0001768/awards,https://www.imdb.com/title/tt0061811/,8.0,2.0
187,"La Jolla, Ca",9-Sep-23,White,Unknown,Straight,1969,Best Actor,http://www.nndb.com/people/134/000023065/,Charly,Cliff Robertson,https://www.imdb.com/name/nm0731772/awards,https://www.imdb.com/title/tt0062794/,7.0,1.5
188,"Winterset, Ia",26-May-07,White,Christian,Straight,1970,Best Actor,http://www.nndb.com/people/605/000023536/,True Grit,John Wayne,https://www.imdb.com/name/nm0000078/awards,https://www.imdb.com/title/tt0065126/,7.0,2.0
189,"Omaha, Ne",3-Apr-24,White,Deist,Bisexual,1973,Best Actor,http://www.nndb.com/people/721/000022655/,The Godfather,Marlon Brando,https://www.imdb.com/name/nm0000008/awards,https://www.imdb.com/title/tt0068646/,9.0,3.0
190,"Newton, Ma",8-Feb-25,White,Christian,Straight,1974,Best Actor,http://www.nndb.com/people/714/000026636/,Save the Tiger,Jack Lemmon,https://www.imdb.com/name/nm0000493/awards,https://www.imdb.com/title/tt0070640/,7.0,1.5
191,"Mount Vernon, Ny",4-Nov-18,White,Unknown,Straight,1975,Best Actor,http://www.nndb.com/people/182/000025107/,Harry and Tonto,Art Carney,https://www.imdb.com/name/nm0138770/,https://www.imdb.com/title/tt0071598/,7.0,2.0
192,"South Kensington, London, England",28-Sep-16,White,Unknown,Straight,1977,Best Actor,http://www.nndb.com/people/745/000063556/,Network,Peter Finch,https://www.imdb.com/name/nm0002075/awards,https://www.imdb.com/title/tt0074958/,8.0,2.0
193,"Bascom, Fl",14-Jan-41,White,Christian,Straight,1977,Best Actress,http://www.nndb.com/people/884/000022818/,Network,Faye Dunaway,https://www.imdb.com/name/nm0001159/awards,https://www.imdb.com/title/tt0074958/,8.0,2.0
194,"Bascom, Fl",14-Jan-41,White,Christian,Straight,1977,Best Actress,http://www.nndb.com/people/884/000022818/,Network,Faye Dunaway,https://www.imdb.com/name/nm0001159/awards,https://www.imdb.com/title/tt0074958/,8.0,2.0
195,"Old Westbury, Ny",2-Aug-14,White,Unknown,Straight,1977,Best Supporting Actress,http://www.nndb.com/people/817/000063628/,Network,Beatrice Straight,https://www.imdb.com/name/nm0833152/,https://www.imdb.com/title/tt0074958/,8.0,2.0
196,"Brooklyn, Ny",29-Oct-47,White,Jewish,Straight,1978,Best Actor,http://www.nndb.com/people/814/000022748/,The Goodbye Girl,Richard Dreyfuss,https://www.imdb.com/name/nm0000377/awards,https://www.imdb.com/title/tt0076095/,7.0,2.0
197,"Yonkers, Ny",29-Dec-38,White,Christian,Straight,1979,Best Actor,http://www.nndb.com/people/060/000023988/,Coming Home,Jon Voight,https://www.imdb.com/name/nm0000685/awards,https://www.imdb.com/title/tt0077362/,7.0,2.0
198,New York City,21-Dec-37,White,Christian,Straight,1979,Best Actress,http://www.nndb.com/people/637/000022571/,Coming Home,Jane Fonda,https://www.imdb.com/name/nm0000404/awards,https://www.imdb.com/title/tt0077362/,7.0,2.0
199,New York City,17-Aug-43,White,Christian,Straight,1981,Best Actor,http://www.nndb.com/people/765/000023696/,Raging Bull,Robert De Niro,https://www.imdb.com/name/nm0000134/awards,https://www.imdb.com/title/tt0081398/,8.0,2.0
200,"Grand Island, Ne",16-May-05,White,Unknown,Straight,1982,Best Actor,http://www.nndb.com/people/496/000026418/,On Golden Pond,Henry Fonda,https://www.imdb.com/name/nm0000020/awards,https://www.imdb.com/title/tt0082846/,8.0,2.0
201,"Hartford, Ct",12-May-07,White,Atheist,Bisexual,1982,Best Actress,http://www.nndb.com/people/775/000023706/,On Golden Pond,Katharine Hepburn,https://www.imdb.com/name/nm0000031/awards,https://www.imdb.com/title/tt0082846/,8.0,2.0
202,"San Diego, Ca",5-Jan-31,White,Unknown,Straight,1984,Best Actor,http://www.nndb.com/people/008/000022939/,Tender Mercies,Robert Duvall,https://www.imdb.com/name/nm0000380/awards,https://www.imdb.com/title/tt0086423/,7.0,1.5
203,"Washington, Dc",20-Mar-50,White,Christian,Straight,1986,Best Actor,http://www.nndb.com/people/683/000023614/,Kiss of the Spider Woman,William Hurt,https://www.imdb.com/name/nm0000458/awards,https://www.imdb.com/title/tt0089424/,7.0,2.0
204,"Shaker Heights, Oh",26-Jan-25,White,Jewish,Straight,1987,Best Actor,http://www.nndb.com/people/804/000022738/,The Color of Money,Paul Newman,https://www.imdb.com/name/nm0000056/awards,https://www.imdb.com/title/tt0090863/,7.0,2.0
205,"New Brunswick, Nj",25-Sep-44,White,Jewish,Straight,1988,Best Actor,http://www.nndb.com/people/614/000024542/,Wall Street,Michael Douglas,https://www.imdb.com/name/nm0000140/,https://www.imdb.com/title/tt0094291/,7.0,2.0
206,"London, England",29-Apr-57,White,Unknown,Straight,1990,Best Actor,http://www.nndb.com/people/788/000022722/,My Left Foot,Daniel Day-Lewis,https://www.imdb.com/name/nm0000358/awards,https://www.imdb.com/title/tt0097937/,8.0,1.5
207,"Dublin, Ireland",17-Feb-45,White,Unknown,Straight,1990,Best Supporting Actress,http://www.nndb.com/people/815/000063626/,My Left Foot,Brenda Fricker,https://www.imdb.com/name/nm0002084/,https://www.imdb.com/title/tt0097937/,8.0,1.5
208,"Cowes, Isle of Wight, England",19-Sep-48,White,Unknown,Straight,1991,Best Actor,http://www.nndb.com/people/594/000023525/,Reversal of Fortune,Jeremy Irons,https://www.imdb.com/name/nm0000460/awards,https://www.imdb.com/title/tt0100486/,7.0,2.0
209,"East Harlem, New York City",25-Apr-40,White,Christian,Straight,1993,Best Actor,http://www.nndb.com/people/880/000022814/,Scent of a Woman,Al Pacino,https://www.imdb.com/name/nm0000199/awards,https://www.imdb.com/title/tt0105323/,8.0,2.5
210,"Concord, Ca",9-Jul-56,White,Christian,Straight,1994,Best Actor,http://www.nndb.com/people/687/000022621/,Philadelphia,Tom Hanks,https://www.imdb.com/name/nm0000158/awards,https://www.imdb.com/title/tt0107818/,8.0,2.0
211,"Concord, Ca",9-Jul-56,White,Christian,Straight,1994,Best Actor,http://www.nndb.com/people/687/000022621/,Philadelphia,Tom Hanks,https://www.imdb.com/name/nm0000158/awards,https://www.imdb.com/title/tt0107818/,8.0,2.0
212,"Long Beach, Ca",7-Jan-64,White,Christian,Straight,1996,Best Actor,http://www.nndb.com/people/751/000022685/,Leaving Las Vegas,Nicolas Cage,https://www.imdb.com/name/nm0000115/awards,https://www.imdb.com/title/tt0113627/,8.0,2.0
213,"Toowoomba, Queensland, Australia",6-Jul-51,White,Unknown,Straight,1997,Best Actor,http://www.nndb.com/people/126/000025051/,Shine,Geoffrey Rush,https://www.imdb.com/name/nm0001691/awards,https://www.imdb.com/title/tt0117631/,8.0,2.0
214,New York City,22-Apr-37,White,Atheist,Straight,1997,Best Actor,http://www.nndb.com/people/722/000022656/,As Good as It Gets,Jack Nicholson,https://www.imdb.com/name/nm0000197/awards,https://www.imdb.com/title/tt0119822/,8.0,2.5
215,"Culver City, Ca",15-Jun-63,White,Unknown,Straight,1998,Best Actress,http://www.nndb.com/people/554/000023485/,As Good As It Gets,Helen Hunt,https://www.imdb.com/name/nm0000166/,https://www.imdb.com/title/tt0119822/,8.0,2.5
216,"Misericordia, Arezzo, Tuscany, Italy",27-Oct-52,White,Unknown,Straight,1999,Best Actor,http://www.nndb.com/people/259/000025184/,Life is Beautiful,Roberto Benigni,https://www.imdb.com/name/nm0000905/,https://www.imdb.com/title/tt0118799/,9.0,2.0
217,"Wellington, New Zealand",7-Apr-64,White,Unknown,Straight,2001,Best Actor,http://www.nndb.com/people/782/000022716/,Gladiator,Russell Crowe,https://www.imdb.com/name/nm0000128/awards,https://www.imdb.com/title/tt0172495/,8.0,2.5
218,"Mount Vernon, Ny",28-Dec-54,Black,Christian,Straight,2002,Best Actor,http://www.nndb.com/people/665/000023596/,Training Day,Denzel Washington,https://www.imdb.com/name/nm0000243/awards,https://www.imdb.com/title/tt0139654/,8.0,2.0
219,"Burbank, Ca",17-Aug-60,White,Christian,Straight,2003,Best Actor,http://www.nndb.com/people/331/000025256/,Mystic River,Sean Penn,https://www.imdb.com/name/nm0000576/awards,https://www.imdb.com/title/tt0327056/,8.0,2.5
220,"West Covina, Ca",16-Oct-58,White,Christian,Straight,2004,Best Supporting Actor,http://www.nndb.com/people/614/000025539/,Mystic River,Tim Robbins,https://www.imdb.com/name/nm0000209/awards,https://www.imdb.com/title/tt0327056/,8.0,2.5
221,"Terrell, Tx",13-Dec-67,Black,Christian,Straight,2005,Best Actor,http://www.nndb.com/people/113/000026035/,Ray,Jamie Foxx,https://www.imdb.com/name/nm0004937/awards,https://www.imdb.com/title/tt0350258/,8.0,2.5
222,"Fairport, Ny",23-Jul-67,White,Unknown,Straight,2006,Best Actor,http://www.nndb.com/people/409/000027328/,Capote,Philip Seymour Hoffman,https://www.imdb.com/name/nm0000450/,https://www.imdb.com/title/tt0379725/,7.0,2.0
