Person;Date of birth;Birthplace;Country of birth;Award;Edition;Movie;Year of award;Bio NNDB;Bio IMDb;Bio Wikipedia
Michael Caine;1933-03-14;Rotherhithe;United Kingdom;Best Supporting Actor;72nd Academy Awards;The Cider House Rules;1999;https://www.nndb.com/people/754/000022688;https://www.imdb.com/name/nm0000323;https://en.wikipedia.org/wiki/Michael_Caine
Cuba Gooding Jr.;1968-01-02;New York City;United States of America;Best Supporting Actor;69th Academy Awards;Jerry Maguire;1996;https://www.nndb.com/people/587/000023518;https://www.imdb.com/name/nm0000421;https://en.wikipedia.org/wiki/Cuba_Gooding_Jr.
J. K. Simmons;1955-01-09;Detroit;United States of America;Best Supporting Actor;87th Academy Awards;Whiplash;2015;https://www.nndb.com/people/185/000026107;https://www.imdb.com/name/nm0799777;https://en.wikipedia.org/wiki/J._K._Simmons
Peter Capaldi;1958-04-14;Glasgow;United Kingdom;Best Live Action Short Film;67th Academy Awards;Franz Kafka's It's a Wonderful Life;1995;https://www.nndb.com/people/433/000216782;https://www.imdb.com/name/nm0134922;https://en.wikipedia.org/wiki/Peter_Capaldi
John Ford;1894-02-01;Cape Elizabeth;United States of America;Best Director;14th Academy Awards;How Green Was My Valley;1941;https://www.nndb.com/people/458/000032362;https://www.imdb.com/name/nm0000406;https://en.wikipedia.org/wiki/John_Ford
John Ford;1894-02-01;Cape Elizabeth;United States of America;Best Director;13th Academy Awards;The Grapes of Wrath;1940;https://www.nndb.com/people/458/000032362;https://www.imdb.com/name/nm0000406;https://en.wikipedia.org/wiki/John_Ford
Charles Schnee;1916-08-06;Bridgeport;United States of America;Best Writing, Adapted Screenplay;25th Academy Awards;The Bad and the Beautiful;1952;;https://www.imdb.com/name/nm0773660;https://en.wikipedia.org/wiki/Charles_Schnee
Co Hoedeman;1940-08-01;Amsterdam;Netherlands;Best Animated Short Film;50th Academy Awards;The Sand Castle;1977;;https://www.imdb.com/name/nm0388394;https://en.wikipedia.org/wiki/Co_Hoedeman
Hal Pereira;1905-04-29;Chicago;United States of America;Best Art Direction, Black and White;28th Academy Awards;The Rose Tattoo;1956;;https://www.imdb.com/name/nm0673134;https://en.wikipedia.org/wiki/Hal_Pereira
John Weldon;1945-05-11;Belleville;Canada;Best Animated Short Film;51st Academy Awards;Special Delivery;1979;;https://www.imdb.com/name/nm0919732;https://en.wikipedia.org/wiki/John_Weldon_(animator)
Ian Hunter;2000-01-01;;;Best Visual Effects;87th Academy Awards;Interstellar;2015;;https://www.imdb.com/name/nm0402843;https://en.wikipedia.org/wiki/Ian_Hunter_(visual_effects_supervisor)
Jon Voight;1938-12-29;Yonkers;United States of America;Best Actor;51st Academy Awards;Coming Home;1978;https://www.nndb.com/people/060/000023988;https://www.imdb.com/name/nm0000685;https://en.wikipedia.org/wiki/Jon_Voight
Oliver Stone;1946-09-15;New York City;United States of America;Best Writing, Adapted Screenplay;51st Academy Awards;Midnight Express;1978;https://www.nndb.com/people/545/000022479;https://www.imdb.com/name/nm0000231;https://en.wikipedia.org/wiki/Oliver_Stone
Fredric March;1897-08-31;Racine;United States of America;Best Actor;19th Academy Awards;The Best Years of Our Lives;1946;https://www.nndb.com/people/255/000043126;https://www.imdb.com/name/nm0545298;https://en.wikipedia.org/wiki/Fredric_March
Jodie Foster;1962-11-19;Los Angeles;United States of America;Best Actress;64th Academy Awards;The Silence of the Lambs;1991;https://www.nndb.com/people/756/000023687;https://www.imdb.com/name/nm0000149;https://en.wikipedia.org/wiki/Jodie_Foster
Elia Kazan;1909-09-07;Constantinople;Latin Empire;Best Director;20th Academy Awards;Gentleman's Agreement;1947;https://www.nndb.com/people/537/000026459;https://www.imdb.com/name/nm0001415;https://en.wikipedia.org/wiki/Elia_Kazan
Elia Kazan;1909-09-07;Constantinople;Byzantine Empire;Best Director;20th Academy Awards;Gentleman's Agreement;1947;https://www.nndb.com/people/537/000026459;https://www.imdb.com/name/nm0001415;https://en.wikipedia.org/wiki/Elia_Kazan
Meryl Streep;1949-06-22;Summit;United States of America;Best Actress;55th Academy Awards;Sophie's Choice;1983;https://www.nndb.com/people/001/000024926;https://www.imdb.com/name/nm0000658;https://en.wikipedia.org/wiki/Meryl_Streep
Olivia de Havilland;1916-07-01;Tokyo;Japan;Best Actress;22nd Academy Awards;The Heiress;1949;https://www.nndb.com/people/741/000022675;https://www.imdb.com/name/nm0000014;https://en.wikipedia.org/wiki/Olivia_de_Havilland
Colleen Atwood;1948-09-25;Yakima;United States of America;Best Costume Design;89th Academy Awards;Fantastic Beasts and Where to Find Them;2017;https://www.nndb.com/people/928/000031835;https://www.imdb.com/name/nm0041181;https://en.wikipedia.org/wiki/Colleen_Atwood
Colleen Atwood;1948-09-25;Yakima;United States of America;Best Costume Design;78th Academy Awards;Memoirs of a Geisha;2005;https://www.nndb.com/people/928/000031835;https://www.imdb.com/name/nm0041181;https://en.wikipedia.org/wiki/Colleen_Atwood
Colleen Atwood;1948-09-25;Yakima;United States of America;Best Costume Design;83rd Academy Awards;Alice in Wonderland;2010;https://www.nndb.com/people/928/000031835;https://www.imdb.com/name/nm0041181;https://en.wikipedia.org/wiki/Colleen_Atwood
Ben Hecht;1893-02-28;New York City;United States of America;Best Story;1st Academy Awards;Underworld;1929;https://www.nndb.com/people/179/000107855;https://www.imdb.com/name/nm0372942;https://en.wikipedia.org/wiki/Ben_Hecht
George Sanders;1906-07-03;Saint Petersburg;Russia;Best Supporting Actor;23rd Academy Awards;All About Eve;1950;https://www.nndb.com/people/728/000043599;https://www.imdb.com/name/nm0001695;https://en.wikipedia.org/wiki/George_Sanders
Costa-Gavras;1933-02-12;Iraia;Greece;Best Writing, Adapted Screenplay;55th Academy Awards;Missing;1982;https://www.nndb.com/people/920/000115575;https://www.imdb.com/name/nm0002020;https://en.wikipedia.org/wiki/Costa-Gavras
Rolf Zehetbauer;1929-02-13;Munich;Germany;Best Production Design;45th Academy Awards;Cabaret;1972;;https://www.imdb.com/name/nm0954250;https://en.wikipedia.org/wiki/Rolf_Zehetbauer
Billy Williams;1929-06-03;Walthamstow;United Kingdom;Best Cinematography;55th Academy Awards;Gandhi;1982;;https://www.imdb.com/name/nm0930119;https://en.wikipedia.org/wiki/Billy_Williams_(cinematographer)
Arthur Cohn;1927-02-04;Basel;Switzerland;Best Documentary Feature;63rd Academy Awards;American Dream;1991;;https://www.imdb.com/name/nm0004453;https://en.wikipedia.org/wiki/Arthur_Cohn
Dave Grusin;1934-06-26;Littleton;United States of America;Best Original Score;61st Academy Awards;The Milagro Beanfield War;1988;;https://www.imdb.com/name/nm0006115;https://en.wikipedia.org/wiki/Dave_Grusin
Maurice Jarre;1924-09-13;Lyon;France;Best Original Score;35th Academy Awards;Lawrence of Arabia;1962;https://www.nndb.com/people/853/000062667;https://www.imdb.com/name/nm0003574;https://en.wikipedia.org/wiki/Maurice_Jarre
Steven Spielberg;1946-12-18;Cincinnati;United States of America;Best Director;66th Academy Awards;Schindler's List;1993;https://www.nndb.com/people/734/000022668;https://www.imdb.com/name/nm0000229;https://en.wikipedia.org/wiki/Steven_Spielberg
Alan Arkin;1934-03-26;New York City;United States of America;Best Supporting Actor;79th Academy Awards;Little Miss Sunshine;2006;https://www.nndb.com/people/777/000022711;https://www.imdb.com/name/nm0000273;https://en.wikipedia.org/wiki/Alan_Arkin
Max Steiner;1888-05-10;Vienna;Austria;Best Original Dramatic or Comedy Score;15th Academy Awards;Now, Voyager;1942;https://www.nndb.com/people/433/000205815;https://www.imdb.com/name/nm0000070;https://en.wikipedia.org/wiki/Max_Steiner
Kevin Spacey;1959-07-26;South Orange;United States of America;Best Supporting Actor;68th Academy Awards;The Usual Suspects;1995;https://www.nndb.com/people/591/000023522;https://www.imdb.com/name/nm0000228;https://en.wikipedia.org/wiki/Kevin_Spacey
Robert De Niro;1943-08-17;Greenwich Village;United States of America;Best Actor;53rd Academy Awards;Raging Bull;1980;https://www.nndb.com/people/765/000023696;https://www.imdb.com/name/nm0000134;https://en.wikipedia.org/wiki/Robert_De_Niro
Rachel Weisz;1970-03-07;Westminster;United Kingdom;Best Supporting Actress;78th Academy Awards;The Constant Gardener;2005;https://www.nndb.com/people/309/000032213;https://www.imdb.com/name/nm0001838;https://en.wikipedia.org/wiki/Rachel_Weisz
Javier Bardem;1969-05-01;Las Palmas de Gran Canaria;Spain;Best Supporting Actor;80th Academy Awards;No Country for Old Men;2007;https://www.nndb.com/people/733/000109406;https://www.imdb.com/name/nm0000849;https://en.wikipedia.org/wiki/Javier_Bardem
Alejandro González Iñárritu;1963-08-15;Mexico City;Mexico;Best Picture;87th Academy Awards;Birdman;2015;;https://www.imdb.com/name/nm0327944;https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu
Charles G. Booth;1896-02-12;Prestwich;United Kingdom;Best Story;18th Academy Awards;The House on 92nd Street;1945;;https://www.imdb.com/name/nm0095660;https://en.wikipedia.org/wiki/Charles_G._Booth
Paul Lukas;1894-05-26;Budapest;Hungary;Best Actor;16th Academy Awards;Watch on the Rhine;1944;https://www.nndb.com/people/713/000042587;https://www.imdb.com/name/nm0510134;https://en.wikipedia.org/wiki/Paul_Lukas
Jane Fonda;1937-12-21;New York City;United States of America;Best Actress;51st Academy Awards;Coming Home;1978;https://www.nndb.com/people/637/000022571;https://www.imdb.com/name/nm0000404;https://en.wikipedia.org/wiki/Jane_Fonda
Jennifer Lawrence;1990-08-15;Indian Hills;United States of America;Best Actress;85th Academy Awards;Silver Linings Playbook;2012;https://www.nndb.com/people/597/000272778;https://www.imdb.com/name/nm2225369;https://en.wikipedia.org/wiki/Jennifer_Lawrence
Helen Hayes;1900-10-10;Washington, D.C.;United States of America;Best Actress;5th Academy Awards;The Sin of Madelon Claudet;1931;https://www.nndb.com/people/908/000031815;https://www.imdb.com/name/nm0371040;https://en.wikipedia.org/wiki/Helen_Hayes
Alan Lee;1947-08-20;London;United Kingdom;Best Production Design;76th Academy Awards;The Lord of the Rings: The Return of the King;2003;;https://www.imdb.com/name/nm0496769;https://en.wikipedia.org/wiki/Alan_Lee_(illustrator)
Adam Elliot;1972-01-02;Berwick;Australia;Best Animated Short Film;76th Academy Awards;Harvie Krumpet;2004;;https://www.imdb.com/name/nm0254178;https://en.wikipedia.org/wiki/Adam_Elliot
Eiko Ishioka;1938-07-12;Tokyo;Japan;Best Costume Design;65th Academy Awards;Bram Stoker's Dracula;1993;;https://www.imdb.com/name/nm0411130;https://en.wikipedia.org/wiki/Eiko_Ishioka
Spencer Tracy;1900-04-05;Milwaukee;United States of America;Best Actor;10th Academy Awards;Captains Courageous;1937;https://www.nndb.com/people/979/000024907;https://www.imdb.com/name/nm0000075;https://en.wikipedia.org/wiki/Spencer_Tracy
Bette Davis;1908-04-05;Lowell;United States of America;Best Actress;8th Academy Awards;Dangerous;1935;https://www.nndb.com/people/457/000026379;https://www.imdb.com/name/nm0000012;https://en.wikipedia.org/wiki/Bette_Davis
Katina Paxinou;1900-12-17;Piraeus;Greece;Best Supporting Actress;16th Academy Awards;For Whom the Bell Tolls;1943;https://www.nndb.com/people/080/000063888;https://www.imdb.com/name/nm0668093;https://en.wikipedia.org/wiki/Katina_Paxinou
Lee Marvin;1924-02-19;New York City;United States of America;Best Actor;38th Academy Awards;Cat Ballou;1965;https://www.nndb.com/people/314/000026236;https://www.imdb.com/name/nm0001511;https://en.wikipedia.org/wiki/Lee_Marvin
Charlton Heston;1923-10-04;Evanston;United States of America;Best Actor;32nd Academy Awards;Ben-Hur;1959;https://www.nndb.com/people/961/000022895;https://www.imdb.com/name/nm0000032;https://en.wikipedia.org/wiki/Charlton_Heston
Trent Reznor;1965-05-17;New Castle;United States of America;Best Original Score;83rd Academy Awards;The Social Network;2011;https://www.nndb.com/people/534/000025459;https://www.imdb.com/name/nm0722153;https://en.wikipedia.org/wiki/Trent_Reznor
Ron Howard;1954-03-01;Duncan;United States of America;Best Picture;74th Academy Awards;A Beautiful Mind;2001;https://www.nndb.com/people/365/000025290;https://www.imdb.com/name/nm0000165;https://en.wikipedia.org/wiki/Ron_Howard
Ben Johnson;1918-06-13;Foraker;United States of America;Best Supporting Actor;44th Academy Awards;The Last Picture Show;1971;https://www.nndb.com/people/425/000064233;https://www.imdb.com/name/nm0424565;https://en.wikipedia.org/wiki/Ben_Johnson_(actor)
Peter Jackson;1961-10-31;Wellington;New Zealand;Best Writing, Adapted Screenplay;76th Academy Awards;The Lord of the Rings: The Return of the King;2003;https://www.nndb.com/people/848/000025773;https://www.imdb.com/name/nm0001392;https://en.wikipedia.org/wiki/Peter_Jackson
Sean Connery;1930-08-25;Edinburgh;United Kingdom;Best Supporting Actor;60th Academy Awards;The Untouchables;1988;https://www.nndb.com/people/881/000022815;https://www.imdb.com/name/nm0000125;https://en.wikipedia.org/wiki/Sean_Connery
Don Ameche;1908-05-31;Kenosha;United States of America;Best Supporting Actor;58th Academy Awards;Cocoon;1985;https://www.nndb.com/people/736/000024664;https://www.imdb.com/name/nm0000747;https://en.wikipedia.org/wiki/Don_Ameche
Haing S. Ngor;1940-03-22;French Indochina;French Protectorate of Cambodia;Best Supporting Actor;57th Academy Awards;The Killing Fields;1984;https://www.nndb.com/people/093/000063901;https://www.imdb.com/name/nm0628955;https://en.wikipedia.org/wiki/Haing_S._Ngor
Haing S. Ngor;1940-03-22;French Indochina;Cochinchina;Best Supporting Actor;57th Academy Awards;The Killing Fields;1984;https://www.nndb.com/people/093/000063901;https://www.imdb.com/name/nm0628955;https://en.wikipedia.org/wiki/Haing_S._Ngor
John Houseman;1902-09-22;Bucharest;Romania;Best Supporting Actor;46th Academy Awards;The Paper Chase;1973;https://www.nndb.com/people/686/000042560;https://www.imdb.com/name/nm0002144;https://en.wikipedia.org/wiki/John_Houseman
Louis Gossett;1936-05-27;Brooklyn;United States of America;Best Supporting Actor;55th Academy Awards;An Officer and a Gentleman;1982;https://www.nndb.com/people/906/000023837;https://www.imdb.com/name/nm0001283;https://en.wikipedia.org/wiki/Louis_Gossett_Jr.
Janusz Kamiński;1959-06-27;Ziębice;Poland;Best Cinematography;71st Academy Awards;Saving Private Ryan;1998;;https://www.imdb.com/name/nm0001405;https://en.wikipedia.org/wiki/Janusz_Kami%C5%84ski
Angus Wall;1967-03-15;;;Best Film Editing;84th Academy Awards;The Girl with the Dragon Tattoo;2011;;https://www.imdb.com/name/nm0908370;https://en.wikipedia.org/wiki/Angus_Wall
Alexandre Trauner;1906-08-03;Budapest;Hungary;Best Art Direction, Black and White;33rd Academy Awards;The Apartment;1960;;https://www.imdb.com/name/nm0871202;https://en.wikipedia.org/wiki/Alexandre_Trauner
Michael Kahn;1935-12-08;New York City;United States of America;Best Film Editing;66th Academy Awards;Schindler's List;1994;;https://www.imdb.com/name/nm0434883;https://en.wikipedia.org/wiki/Michael_Kahn_(film_editor)
Maurice Jarre;1924-09-13;Lyon;France;Best Original Score;57th Academy Awards;A Passage to India;1984;https://www.nndb.com/people/853/000062667;https://www.imdb.com/name/nm0003574;https://en.wikipedia.org/wiki/Maurice_Jarre
Maurice Jarre;1924-09-13;Lyon;France;Best Original Score;38th Academy Awards;Doctor Zhivago;1965;https://www.nndb.com/people/853/000062667;https://www.imdb.com/name/nm0003574;https://en.wikipedia.org/wiki/Maurice_Jarre
Renée Zellweger;1969-04-25;Katy;United States of America;Best Supporting Actress;76th Academy Awards;Cold Mountain;2004;https://www.nndb.com/people/708/000024636;https://www.imdb.com/name/nm0000250;https://en.wikipedia.org/wiki/Ren%C3%A9e_Zellweger
Julie Andrews;1935-10-01;Walton-on-Thames;United Kingdom;Best Actress;37th Academy Awards;Mary Poppins;1964;https://www.nndb.com/people/874/000023805;https://www.imdb.com/name/nm0000267;https://en.wikipedia.org/wiki/Julie_Andrews
Alejandro González Iñárritu;1963-08-15;Mexico City;Mexico;Best Director;88th Academy Awards;The Revenant;2016;;https://www.imdb.com/name/nm0327944;https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu
Miloš Forman;1932-02-18;Čáslav;Czech Republic;Best Director;57th Academy Awards;Amadeus;1984;https://www.nndb.com/people/622/000023553;https://www.imdb.com/name/nm0001232;https://en.wikipedia.org/wiki/Milo%C5%A1_Forman
Charles L. Campbell;1930-08-17;;;Best Sound Editing;61st Academy Awards;Who Framed Roger Rabbit;1988;;https://www.imdb.com/name/nm0132287;https://en.wikipedia.org/wiki/Charles_L._Campbell
Chris Newman;1940-02-17;New York City;United States of America;Best Sound Mixing;57th Academy Awards;Amadeus;1984;;https://www.imdb.com/name/nm0628039;https://en.wikipedia.org/wiki/Chris_Newman_(sound_engineer)
Chris Newman;1940-02-17;New York City;United States of America;Best Sound Mixing;46th Academy Awards;The Exorcist;1973;;https://www.imdb.com/name/nm0628039;https://en.wikipedia.org/wiki/Chris_Newman_(sound_engineer)
Ernest Laszlo;1898-04-23;Budapest;Hungary;Best Cinematography, Black-and-White;38th Academy Awards;Ship of Fools;1965;;https://www.imdb.com/name/nm0005768;https://en.wikipedia.org/wiki/Ernest_Laszlo
Sharmeen Obaid-Chinoy;1978-11-12;Karachi;Pakistan;Best Documentary (Short Subject);84th Academy Awards;Saving Face;2011;;https://www.imdb.com/name/nm1581464;https://en.wikipedia.org/wiki/Sharmeen_Obaid-Chinoy
Dede Gardner;1967-10-16;Winnetka;United States of America;Best Picture;86th Academy Awards;12 Years a Slave;2014;;https://www.imdb.com/name/nm0306890;https://en.wikipedia.org/wiki/Dede_Gardner
Jessica Lange;1949-04-20;Cloquet;United States of America;Best Supporting Actress;55th Academy Awards;Tootsie;1982;https://www.nndb.com/people/004/000022935;https://www.imdb.com/name/nm0001448;https://en.wikipedia.org/wiki/Jessica_Lange
Oliver Stone;1946-09-15;New York City;United States of America;Best Director;59th Academy Awards;Platoon;1986;https://www.nndb.com/people/545/000022479;https://www.imdb.com/name/nm0000231;https://en.wikipedia.org/wiki/Oliver_Stone
Nicole Kidman;1967-06-20;Honolulu;United States of America;Best Actress;75th Academy Awards;The Hours;2002;https://www.nndb.com/people/917/000022851;https://www.imdb.com/name/nm0000173;https://en.wikipedia.org/wiki/Nicole_Kidman
Joaquin Phoenix;1974-10-28;San Juan;United States of America;Best Actor;92nd Academy Awards;Joker;2020;https://www.nndb.com/people/898/000025823;https://www.imdb.com/name/nm0001618;https://en.wikipedia.org/wiki/Joaquin_Phoenix
Sally Field;1946-11-06;Pasadena;United States of America;Best Actress;57th Academy Awards;Places in the Heart;1984;https://www.nndb.com/people/897/000022831;https://www.imdb.com/name/nm0000398;https://en.wikipedia.org/wiki/Sally_Field
Julia Roberts;1967-10-28;Smyrna;United States of America;Best Actress;73rd Academy Awards;Erin Brockovich;2001;https://www.nndb.com/people/592/000022526;https://www.imdb.com/name/nm0000210;https://en.wikipedia.org/wiki/Julia_Roberts
Elia Kazan;1909-09-07;Constantinople;Ottoman Empire;Best Director;20th Academy Awards;Gentleman's Agreement;1947;https://www.nndb.com/people/537/000026459;https://www.imdb.com/name/nm0001415;https://en.wikipedia.org/wiki/Elia_Kazan
Clark Gable;1901-02-01;Cadiz;United States of America;Best Actor;7th Academy Awards;It Happened One Night;1934;https://www.nndb.com/people/156/000027075;https://www.imdb.com/name/nm0000022;https://en.wikipedia.org/wiki/Clark_Gable
Wendy Hiller;1912-08-15;Stockport;United Kingdom;Best Supporting Actress;31st Academy Awards;Separate Tables;1959;https://www.nndb.com/people/056/000063864;https://www.imdb.com/name/nm0384908;https://en.wikipedia.org/wiki/Wendy_Hiller
Cate Blanchett;1969-05-14;Melbourne;Australia;Best Actress;86th Academy Awards;Blue Jasmine;2014;https://www.nndb.com/people/222/000026144;https://www.imdb.com/name/nm0000949;https://en.wikipedia.org/wiki/Cate_Blanchett
Tom Hanks;1956-07-09;Concord;United States of America;Best Actor;67th Academy Awards;Forrest Gump;1995;https://www.nndb.com/people/687/000022621;https://www.imdb.com/name/nm0000158;https://en.wikipedia.org/wiki/Tom_Hanks
Steven Soderbergh;1963-01-14;Atlanta;United States of America;Best Director;73rd Academy Awards;Traffic;2000;https://www.nndb.com/people/907/000025832;https://www.imdb.com/name/nm0001752;https://en.wikipedia.org/wiki/Steven_Soderbergh
Charles Coburn;1877-06-19;Savannah;United States of America;Best Supporting Actor;16th Academy Awards;The More the Merrier;1943;https://www.nndb.com/people/127/000063935;https://www.imdb.com/name/nm0002013;https://en.wikipedia.org/wiki/Charles_Coburn
Hugh Griffith;1912-05-30;Anglesey;United Kingdom;Best Supporting Actor;32nd Academy Awards;Ben-Hur;1959;https://www.nndb.com/people/120/000063928;https://www.imdb.com/name/nm0341518;https://en.wikipedia.org/wiki/Hugh_Griffith
Jack Albertson;1907-06-16;Malden;United States of America;Best Supporting Actor;41st Academy Awards;The Subject Was Roses;1968;https://www.nndb.com/people/559/000049412;https://www.imdb.com/name/nm0016776;https://en.wikipedia.org/wiki/Jack_Albertson
Ken Ralston;1954-01-01;;;Best Visual Effects;67th Academy Awards;Forrest Gump;1995;;https://www.imdb.com/name/nm0707822;https://en.wikipedia.org/wiki/Ken_Ralston
Jan A. P. Kaczmarek;1953-04-29;Konin;Poland;Best Original Score;77th Academy Awards;Finding Neverland;2004;;https://www.imdb.com/name/nm0434222;https://en.wikipedia.org/wiki/Jan_A._P._Kaczmarek
Gabriel Yared;1949-10-07;Beirut;Lebanon;Best Original Dramatic Score;69th Academy Awards;The English Patient;1996;;https://www.imdb.com/name/nm0001189;https://en.wikipedia.org/wiki/Gabriel_Yared
Michael Kahn;1935-12-08;New York City;United States of America;Best Film Editing;54th Academy Awards;Raiders of the Lost Ark;1982;;https://www.imdb.com/name/nm0434883;https://en.wikipedia.org/wiki/Michael_Kahn_(film_editor)
Arnold Kopelson;1935-02-14;New York City;United States of America;Best Picture;59th Academy Awards;Platoon;1986;;https://www.imdb.com/name/nm0465745;https://en.wikipedia.org/wiki/Arnold_Kopelson
Michael Arndt;1970-11-22;McLean;United States of America;Best Writing, Original Screenplay;79th Academy Awards;Little Miss Sunshine;2006;;https://www.imdb.com/name/nm1578335;https://en.wikipedia.org/wiki/Michael_Arndt
Holly Hunter;1958-03-20;Conyers;United States of America;Best Actress;66th Academy Awards;The Piano;1993;https://www.nndb.com/people/566/000023497;https://www.imdb.com/name/nm0000456;https://en.wikipedia.org/wiki/Holly_Hunter
John Barry;1933-11-03;York;United Kingdom;Best Original Score;63rd Academy Awards;Dances with Wolves;1990;https://www.nndb.com/people/609/000031516;https://www.imdb.com/name/nm0000290;https://en.wikipedia.org/wiki/John_Barry_(composer)
Michael Caine;1933-03-14;Rotherhithe;United Kingdom;Best Supporting Actor;59th Academy Awards;Hannah and Her Sisters;1986;https://www.nndb.com/people/754/000022688;https://www.imdb.com/name/nm0000323;https://en.wikipedia.org/wiki/Michael_Caine
Vangelis;1943-03-29;Agria;Greece;Best Original Score;54th Academy Awards;Chariots of Fire;1981;https://www.nndb.com/people/459/000024387;https://www.imdb.com/name/nm0006331;https://en.wikipedia.org/wiki/Vangelis
André Previn;1929-04-06;Berlin;Germany;Best Score, Adaptation or Treatment;36th Academy Awards;Irma la Douce;1964;https://www.nndb.com/people/299/000023230;https://www.imdb.com/name/nm0006238;https://en.wikipedia.org/wiki/Andr%C3%A9_Previn
Ang Lee;1954-10-23;Chaozhou;Taiwan;Best Director;85th Academy Awards;Life of Pi;2012;https://www.nndb.com/people/394/000025319;https://www.imdb.com/name/nm0000487;https://en.wikipedia.org/wiki/Ang_Lee
Sammy Fain;1902-06-17;New York City;United States of America;Best Original Song;26th Academy Awards;Secret Love;1954;https://www.nndb.com/people/366/000205748;https://www.imdb.com/name/nm0006066;https://en.wikipedia.org/wiki/Sammy_Fain
John Ford;1894-02-01;Cape Elizabeth;United States of America;Best Director;8th Academy Awards;The Informer;1935;https://www.nndb.com/people/458/000032362;https://www.imdb.com/name/nm0000406;https://en.wikipedia.org/wiki/John_Ford
Pedro Almodóvar;1949-09-25;Calzada de Calatrava;Spain;Best Writing, Original Screenplay;75th Academy Awards;Talk to Her;2002;https://www.nndb.com/people/145/000025070;https://www.imdb.com/name/nm0000264;https://en.wikipedia.org/wiki/Pedro_Almod%C3%B3var
Howard Shore;1946-10-18;Toronto;Canada;Best Original Score;74th Academy Awards;The Lord of the Rings: The Fellowship of the Ring;2001;;https://www.imdb.com/name/nm0006290;https://en.wikipedia.org/wiki/Howard_Shore
Charles L. Campbell;1930-08-17;;;Best Sound Editing;55th Academy Awards;E.T. the Extra-Terrestrial;1982;;https://www.imdb.com/name/nm0132287;https://en.wikipedia.org/wiki/Charles_L._Campbell
Chris Menges;1940-09-15;Kington;United Kingdom;Best Cinematography;57th Academy Awards;The Killing Fields;1984;;https://www.imdb.com/name/nm0579580;https://en.wikipedia.org/wiki/Chris_Menges
Ernest Palmer;1885-12-06;Kansas City;United States of America;Best Cinematography, Color;14th Academy Awards;Blood and Sand;1942;;https://www.imdb.com/name/nm0005823;https://en.wikipedia.org/wiki/Ernest_Palmer_(American_cinematographer)
Aron Warner;1961-03-25;Pasadena;United States of America;Best Animated Feature;74th Academy Awards;Shrek;2002;;https://www.imdb.com/name/nm0912403;https://en.wikipedia.org/wiki/Aron_Warner
Sid Ramin;1919-01-22;Boston;United States of America;Best Original Musical Score;34th Academy Awards;West Side Story;1961;;https://www.imdb.com/name/nm0708240;https://en.wikipedia.org/wiki/Sid_Ramin
Fredric March;1897-08-31;Racine;United States of America;Best Actor;5th Academy Awards;Dr. Jekyll and Mr. Hyde;1931;https://www.nndb.com/people/255/000043126;https://www.imdb.com/name/nm0545298;https://en.wikipedia.org/wiki/Fredric_March
Denzel Washington;1954-12-28;Mount Vernon;United States of America;Best Supporting Actor;62nd Academy Awards;Glory;1989;https://www.nndb.com/people/665/000023596;https://www.imdb.com/name/nm0000243;https://en.wikipedia.org/wiki/Denzel_Washington
Jean Dujardin;1972-06-19;Rueil-Malmaison;France;Best Actor;84th Academy Awards;The Artist;2012;https://www.nndb.com/people/303/000281457;https://www.imdb.com/name/nm0241121;https://en.wikipedia.org/wiki/Jean_Dujardin
James Cameron;1954-08-16;Kapuskasing;Canada;Best Director;70th Academy Awards;Titanic;1998;https://www.nndb.com/people/385/000025310;https://www.imdb.com/name/nm0000116;https://en.wikipedia.org/wiki/James_Cameron
Helen Hayes;1900-10-10;Washington, D.C.;United States of America;Best Supporting Actress;43rd Academy Awards;Airport;1970;https://www.nndb.com/people/908/000031815;https://www.imdb.com/name/nm0371040;https://en.wikipedia.org/wiki/Helen_Hayes
Katharine Hepburn;1907-05-12;Hartford;United States of America;Best Actress;40th Academy Awards;Guess Who's Coming to Dinner;1967;https://www.nndb.com/people/775/000023706;https://www.imdb.com/name/nm0000031;https://en.wikipedia.org/wiki/Katharine_Hepburn
Anthony Quinn;1915-04-21;Chihuahua;Mexico;Best Supporting Actor;25th Academy Awards;Viva Zapata!;1952;https://www.nndb.com/people/228/000032132;https://www.imdb.com/name/nm0000063;https://en.wikipedia.org/wiki/Anthony_Quinn
Tatum O'Neal;1963-02-05;Los Angeles;United States of America;Best Supporting Actress;46th Academy Awards;Paper Moon;1973;https://www.nndb.com/people/104/000024032;https://www.imdb.com/name/nm0001575;https://en.wikipedia.org/wiki/Tatum_O%27Neal
Ruth Prawer Jhabvala;1927-05-07;Cologne;Germany;Best Writing, Adapted Screenplay;59th Academy Awards;A Room with a View;1987;https://www.nndb.com/people/247/000104932;https://www.imdb.com/name/nm0695609;https://en.wikipedia.org/wiki/Ruth_Prawer_Jhabvala
Colleen Atwood;1948-09-25;Yakima;United States of America;Best Costume Design;75th Academy Awards;Chicago;2002;https://www.nndb.com/people/928/000031835;https://www.imdb.com/name/nm0041181;https://en.wikipedia.org/wiki/Colleen_Atwood
